DATAFLOW,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,GFS_STO,SECTOR,TRANSFORMATION,UNIT,DERIVATION_TYPE,OVERLAP,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SOURCE,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2001,14.6493192544296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2002,15.3628926738801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2003,15.6077052229688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2004,16.1153955576611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2005,16.6080204107442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2006,16.9300236866635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2007,17.924832397447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2008,22.1327893218206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2009,23.5010322211363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2010,24.3087172872269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2011,26.5508918621926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2012,27.3970969667689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2013,27.2808552031606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2014,27.740050127895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2015,28.5116611488042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2016,28.365642605276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2017,28.6753325102456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2018,28.4404309940655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2019,27.6045130947347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2020,25.2751259986976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2021,26.009204194629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2022,25.3225255322715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2023,26.0256719821657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2024,25.604258534846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2025,25.0791967962848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2026,25.2840284664285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2027,25.4775697432185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2028,25.6297880303457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2029,25.7162369886008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.FAD:FM(5.0.0),CHN,G1_S13_POGDP_PT,A,2030,25.7982597428905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
